# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T12:34:25.645310
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
     1.350 |    0.000    0.000    0.000 |    -0.66     1.67     0.12 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.400 |    0.000    0.000    0.000 |    -0.66     1.67     0.13 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.450 |    0.000    0.000    0.000 |    -0.66     1.67     0.13 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.500 |    0.000    0.000    0.000 |    -0.66     1.67     0.13 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.550 |    0.000    0.000    0.000 |    -0.66     1.67     0.13 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.600 |    0.000    0.000    0.000 |    -0.66     1.67     0.13 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.650 |    0.000    0.000    0.000 |    -0.66     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.700 |    0.000    0.000    0.000 |    -0.66     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.750 |    0.000    0.000    0.000 |    -0.66     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.800 |    0.000    0.000    0.000 |    -0.66     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.850 |    0.000    0.000    0.000 |    -0.66     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.900 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.950 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.000 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.050 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.100 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.150 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.200 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.250 |    0.000    0.000    0.000 |    -0.67     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.300 |    0.000    0.000    0.000 |    -0.67     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.350 |    0.000    0.000    0.000 |    -0.67     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.400 |    0.000    0.000    0.000 |    -0.67     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.450 |    0.000    0.000    0.000 |    -0.67     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.500 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.550 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.600 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.650 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.700 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.750 |    0.000    0.000    0.000 |    -0.66     1.67     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.800 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.850 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.900 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     2.950 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.000 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.050 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.100 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.150 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.200 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.250 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.300 |    0.000    0.000    0.000 |    -0.67     1.68     0.14 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.350 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.400 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.450 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.500 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.551 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.600 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.650 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.700 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.750 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.800 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.850 |    0.000    0.000    0.000 |    -0.67     1.67     0.15 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.900 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.950 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.000 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.050 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.100 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.150 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.200 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.250 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.300 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.350 |    0.000    0.000    0.000 |    -0.67     1.67     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.400 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.450 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.500 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.550 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.600 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.650 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.700 |    0.000    0.000    0.000 |    -0.67     1.68     0.16 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.750 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.800 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.850 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.900 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.950 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.000 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.050 |    0.000    0.000    0.000 |    -0.67     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.100 |    0.000    0.000    0.000 |    -0.67     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.150 |    0.000    0.000    0.000 |    -0.67     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.200 |    0.000    0.000    0.000 |    -0.67     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.250 |    0.000    0.000    0.000 |    -0.67     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.300 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.350 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.400 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.450 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.500 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.550 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.600 |    0.000    0.000    0.000 |    -0.67     1.68     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.650 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.700 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.750 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.800 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.850 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.900 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.950 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.000 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.050 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.100 |    0.000    0.000    0.000 |    -0.68     1.68     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.150 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.200 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.250 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.300 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.350 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.400 |    0.000    0.000    0.000 |    -0.68     1.68     0.19 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.450 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.500 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.550 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.600 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.650 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.700 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.750 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.800 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.850 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.900 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.950 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.000 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.050 |    0.000    0.000    0.000 |    -0.67     1.68     0.18 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.100 |    0.000    0.000    0.000 |    -0.67     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.150 |    0.000    0.000    0.000 |    -0.67     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.200 |    0.000    0.000    0.000 |    -0.67     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.250 |    0.000    0.000    0.000 |    -0.67     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.300 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.350 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.400 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.450 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.500 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.550 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.600 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.650 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.700 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.750 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.800 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.850 |    0.000    0.000    0.000 |    -0.67     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.900 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     7.950 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.000 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.050 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.100 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.150 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.200 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.250 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.300 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.350 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.400 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.450 |    0.000    0.000    0.000 |    -0.66     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.500 |    0.000    0.000    0.000 |    -0.66     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.550 |    0.000    0.000    0.000 |    -0.66     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.600 |    0.000    0.000    0.000 |    -0.66     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.650 |    0.000    0.000    0.000 |    -0.66     1.67     0.20 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.700 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.750 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.800 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.850 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.900 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     8.950 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.000 |    0.000    0.000    0.000 |    -0.66     1.67     0.21 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.050 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.100 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.150 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.200 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.250 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.300 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.350 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.400 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.450 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.500 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.550 |    0.000    0.000    0.000 |    -0.66     1.67     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.600 |    0.000    0.000    0.000 |    -0.66     1.66     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.650 |    0.000    0.000    0.000 |    -0.66     1.66     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.700 |    0.000    0.000    0.000 |    -0.66     1.66     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.750 |    0.000    0.000    0.000 |    -0.66     1.66     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.800 |    0.000    0.000    0.000 |    -0.66     1.66     0.22 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.850 |    0.000    0.000    0.000 |    -0.66     1.66     0.23 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.900 |    0.000    0.000    0.000 |    -0.66     1.66     0.23 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     9.950 |    0.000    0.000    0.000 |    -0.66     1.66     0.23 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
    10.000 |    0.000    0.000    0.000 |    -0.66     1.66     0.23 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
    10.050 |    0.000    0.000    0.000 |    -0.66     1.66     0.23 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
