# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T15:45:22.143960
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
------------------------------------------------------------------------------------------------------------------------
     0.000 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |     0     0     0     0
     0.050 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.100 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.150 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.200 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.250 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.300 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.350 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.400 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.450 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.500 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.550 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.600 |    0.000    0.000    0.000 |    -0.57     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.650 |    0.000    0.000    0.000 |    -0.58     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.700 |    0.000    0.000    0.000 |    -0.58     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.750 |    0.000    0.000    0.000 |    -0.58     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.800 |    0.000    0.000    0.000 |    -0.58     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.850 |    0.000    0.000    0.000 |    -0.58     1.86     0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.900 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     0.950 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.000 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.050 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.100 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.150 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.201 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.250 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.300 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.350 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.400 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.450 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.500 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.550 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.600 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.651 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.700 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.750 |    0.000    0.000    0.000 |    -0.57     1.86     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.800 |    0.000    0.000    0.000 |    -0.57     1.87     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.850 |    0.000    0.000    0.000 |    -0.57     1.87     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     1.900 |    0.000    0.000    0.000 |    -0.57     1.87     0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
